,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
1069,A002,R051,02-03-05,05-25-11,16:00:00,REGULAR,5132039,977078
1070,A002,R051,02-03-05,05-25-11,20:00:00,REGULAR,5132999,977103
1071,A002,R051,02-03-05,05-26-11,00:00:00,REGULAR,5133388,977115
1072,A002,R051,02-03-05,05-26-11,04:00:00,REGULAR,5133439,977116
1073,A002,R051,02-03-05,05-26-11,08:00:00,REGULAR,5133577,977169
1074,A002,R051,02-03-05,05-26-11,12:00:00,REGULAR,5134115,977225
1075,A002,R051,02-03-05,05-26-11,16:00:00,REGULAR,5134604,977242
1076,A002,R051,02-03-05,05-26-11,20:00:00,REGULAR,5135509,977271
1077,A002,R051,02-03-05,05-27-11,00:00:00,REGULAR,5135933,977286
1078,A002,R051,02-03-05,05-27-11,04:00:00,REGULAR,5135983,977286
1079,A002,R051,02-03-05,05-27-11,08:00:00,REGULAR,5136103,977336
1080,A002,R051,02-03-05,05-27-11,12:00:00,REGULAR,5136616,977395
1081,A002,R051,02-03-05,05-27-11,16:00:00,REGULAR,5137188,977422
1082,A002,R051,02-03-05,05-27-11,20:00:00,REGULAR,5137972,977432
1083,A002,R051,02-03-06,05-21-11,00:00:00,REGULAR,3892195,422604
1084,A002,R051,02-03-06,05-21-11,04:00:00,REGULAR,3892230,422604
1085,A002,R051,02-03-06,05-21-11,08:00:00,REGULAR,3892263,422606
1086,A002,R051,02-03-06,05-21-11,12:00:00,REGULAR,3892422,422611
1087,A002,R051,02-03-06,05-21-11,16:00:00,REGULAR,3892685,422617
1088,A002,R051,02-03-06,05-21-11,20:00:00,REGULAR,3893012,422628
1089,A002,R051,02-03-06,05-22-11,00:00:00,REGULAR,3893220,422633
1090,A002,R051,02-03-06,05-22-11,04:00:00,REGULAR,3893253,422635
1091,A002,R051,02-03-06,05-22-11,08:00:00,REGULAR,3893266,422636
1092,A002,R051,02-03-06,05-22-11,12:00:00,REGULAR,3893362,422637
1093,A002,R051,02-03-06,05-22-11,16:00:00,REGULAR,3893568,422645
1094,A002,R051,02-03-06,05-22-11,20:00:00,REGULAR,3893808,422650
1095,A002,R051,02-03-06,05-23-11,00:00:00,REGULAR,3893948,422650
1096,A002,R051,02-03-06,05-23-11,04:00:00,REGULAR,3893959,422650
1097,A002,R051,02-03-06,05-23-11,08:00:00,REGULAR,3894079,422653
1098,A002,R051,02-03-06,05-23-11,12:00:00,REGULAR,3894551,422658
1099,A002,R051,02-03-06,05-23-11,16:00:00,REGULAR,3894873,422659
1100,A002,R051,02-03-06,05-23-11,20:00:00,REGULAR,3895668,422666
1101,A002,R051,02-03-06,05-24-11,00:00:00,REGULAR,3895922,422667
1102,A002,R051,02-03-06,05-24-11,04:00:00,REGULAR,3895933,422667
1103,A002,R051,02-03-06,05-24-11,08:00:00,REGULAR,3896074,422672
1104,A002,R051,02-03-06,05-24-11,12:00:00,REGULAR,3896573,422684
1105,A002,R051,02-03-06,05-24-11,16:00:00,REGULAR,3896933,422689
1106,A002,R051,02-03-06,05-24-11,20:00:00,REGULAR,3897690,422702
1107,A002,R051,02-03-06,05-25-11,00:00:00,REGULAR,3897958,422707
1108,A002,R051,02-03-06,05-25-11,04:00:00,REGULAR,3897977,422707
1109,A002,R051,02-03-06,05-25-11,08:00:00,REGULAR,3898117,422710
1110,A002,R051,02-03-06,05-25-11,12:00:00,REGULAR,3898657,422725
1111,A002,R051,02-03-06,05-25-11,16:00:00,REGULAR,3898983,422732
1112,A002,R051,02-03-06,05-25-11,20:00:00,REGULAR,3899796,422738
1113,A002,R051,02-03-06,05-26-11,00:00:00,REGULAR,3900052,422740
1114,A002,R051,02-03-06,05-26-11,04:00:00,REGULAR,3900068,422740
1115,A002,R051,02-03-06,05-26-11,08:00:00,REGULAR,3900180,422745
1116,A002,R051,02-03-06,05-26-11,12:00:00,REGULAR,3900694,422752
1117,A002,R051,02-03-06,05-26-11,16:00:00,REGULAR,3901075,422757
1118,A002,R051,02-03-06,05-26-11,20:00:00,REGULAR,3901849,422763
1119,A002,R051,02-03-06,05-27-11,00:00:00,REGULAR,3902135,422768
1120,A002,R051,02-03-06,05-27-11,04:00:00,REGULAR,3902156,422768
1121,A002,R051,02-03-06,05-27-11,08:00:00,REGULAR,3902251,422770
1122,A002,R051,02-03-06,05-27-11,12:00:00,REGULAR,3902656,422784
1123,A002,R051,02-03-06,05-27-11,16:00:00,REGULAR,3903097,422793
1124,A002,R051,02-03-06,05-27-11,20:00:00,REGULAR,3903796,422800
1125,A002,R051,02-05-00,05-21-11,00:00:00,REGULAR,657,0
1126,A002,R051,02-05-00,05-21-11,04:00:00,REGULAR,657,0
1127,A002,R051,02-05-00,05-21-11,08:00:00,REGULAR,657,0
1128,A002,R051,02-05-00,05-21-11,12:00:00,REGULAR,657,0
1129,A002,R051,02-05-00,05-21-11,16:00:00,REGULAR,657,0
1130,A002,R051,02-05-00,05-21-11,20:00:00,REGULAR,657,0
1131,A002,R051,02-05-00,05-22-11,00:00:00,REGULAR,657,0
1132,A002,R051,02-05-00,05-22-11,04:00:00,REGULAR,657,0
1133,A002,R051,02-05-00,05-22-11,08:00:00,REGULAR,657,0
1134,A002,R051,02-05-00,05-22-11,12:00:00,REGULAR,657,0
1135,A002,R051,02-05-00,05-22-11,16:00:00,REGULAR,657,0
1136,A002,R051,02-05-00,05-22-11,20:00:00,REGULAR,657,0
1137,A002,R051,02-05-00,05-23-11,00:00:00,REGULAR,657,0
1138,A002,R051,02-05-00,05-23-11,04:00:00,REGULAR,657,0
1139,A002,R051,02-05-00,05-23-11,08:00:00,REGULAR,657,0
1140,A002,R051,02-05-00,05-23-11,12:00:00,REGULAR,657,0
1141,A002,R051,02-05-00,05-23-11,16:00:00,REGULAR,657,0
1142,A002,R051,02-05-00,05-23-11,20:00:00,REGULAR,657,0
1143,A002,R051,02-05-00,05-24-11,00:00:00,REGULAR,657,0
1144,A002,R051,02-05-00,05-24-11,04:00:00,REGULAR,657,0
1145,A002,R051,02-05-00,05-24-11,08:00:00,REGULAR,657,0
1146,A002,R051,02-05-00,05-24-11,12:00:00,REGULAR,657,0
1147,A002,R051,02-05-00,05-24-11,16:00:00,REGULAR,657,0
1148,A002,R051,02-05-00,05-24-11,20:00:00,REGULAR,657,0
1149,A002,R051,02-05-00,05-25-11,00:00:00,REGULAR,657,0
1150,A002,R051,02-05-00,05-25-11,04:00:00,REGULAR,657,0
1151,A002,R051,02-05-00,05-25-11,08:00:00,REGULAR,657,0
1152,A002,R051,02-05-00,05-25-11,12:00:00,REGULAR,657,0
1153,A002,R051,02-05-00,05-25-11,16:00:00,REGULAR,657,0
1154,A002,R051,02-05-00,05-25-11,20:00:00,REGULAR,657,0
1155,A002,R051,02-05-00,05-26-11,00:00:00,REGULAR,657,0
1156,A002,R051,02-05-00,05-26-11,04:00:00,REGULAR,657,0
1157,A002,R051,02-05-00,05-26-11,08:00:00,REGULAR,657,0
1158,A002,R051,02-05-00,05-26-11,12:00:00,REGULAR,657,0
1159,A002,R051,02-05-00,05-26-11,16:00:00,REGULAR,657,0
1160,A002,R051,02-05-00,05-26-11,20:00:00,REGULAR,657,0
1161,A002,R051,02-05-00,05-27-11,00:00:00,REGULAR,657,0
1162,A002,R051,02-05-00,05-27-11,04:00:00,REGULAR,657,0
1163,A002,R051,02-05-00,05-27-11,08:00:00,REGULAR,657,0
1164,A002,R051,02-05-00,05-27-11,12:00:00,REGULAR,657,0
1165,A002,R051,02-05-00,05-27-11,16:00:00,REGULAR,657,0
1166,A002,R051,02-05-00,05-27-11,20:00:00,REGULAR,657,0
1167,A002,R051,02-05-01,05-21-11,00:00:00,REGULAR,0,320
1168,A002,R051,02-05-01,05-21-11,04:00:00,REGULAR,0,320
1169,A002,R051,02-05-01,05-21-11,08:00:00,REGULAR,0,320
1170,A002,R051,02-05-01,05-21-11,12:00:00,REGULAR,0,320
1171,A002,R051,02-05-01,05-21-11,16:00:00,REGULAR,0,320
1172,A002,R051,02-05-01,05-21-11,20:00:00,REGULAR,0,320
1173,A002,R051,02-05-01,05-22-11,00:00:00,REGULAR,0,320
1174,A002,R051,02-05-01,05-22-11,04:00:00,REGULAR,0,320
1175,A002,R051,02-05-01,05-22-11,08:00:00,REGULAR,0,320
1176,A002,R051,02-05-01,05-22-11,12:00:00,REGULAR,0,320
1177,A002,R051,02-05-01,05-22-11,16:00:00,REGULAR,0,320
1178,A002,R051,02-05-01,05-22-11,20:00:00,REGULAR,0,320
1179,A002,R051,02-05-01,05-23-11,00:00:00,REGULAR,0,320
1180,A002,R051,02-05-01,05-23-11,04:00:00,REGULAR,0,320
1181,A002,R051,02-05-01,05-23-11,08:00:00,REGULAR,0,320
1182,A002,R051,02-05-01,05-23-11,12:00:00,REGULAR,0,320
1183,A002,R051,02-05-01,05-23-11,16:00:00,REGULAR,0,320
1184,A002,R051,02-05-01,05-23-11,20:00:00,REGULAR,0,320
1185,A002,R051,02-05-01,05-24-11,00:00:00,REGULAR,0,320
1186,A002,R051,02-05-01,05-24-11,04:00:00,REGULAR,0,320
1187,A002,R051,02-05-01,05-24-11,08:00:00,REGULAR,0,320
1188,A002,R051,02-05-01,05-24-11,12:00:00,REGULAR,0,320
1189,A002,R051,02-05-01,05-24-11,16:00:00,REGULAR,0,320
1190,A002,R051,02-05-01,05-24-11,20:00:00,REGULAR,0,320
1191,A002,R051,02-05-01,05-25-11,00:00:00,REGULAR,0,320
1192,A002,R051,02-05-01,05-25-11,04:00:00,REGULAR,0,320
1193,A002,R051,02-05-01,05-25-11,08:00:00,REGULAR,0,320
1194,A002,R051,02-05-01,05-25-11,12:00:00,REGULAR,0,320
1195,A002,R051,02-05-01,05-25-11,16:00:00,REGULAR,0,320
1196,A002,R051,02-05-01,05-25-11,20:00:00,REGULAR,0,320
1197,A002,R051,02-05-01,05-26-11,00:00:00,REGULAR,0,320
1198,A002,R051,02-05-01,05-26-11,04:00:00,REGULAR,0,320
1199,A002,R051,02-05-01,05-26-11,08:00:00,REGULAR,0,320
1200,A002,R051,02-05-01,05-26-11,12:00:00,REGULAR,0,320
1201,A002,R051,02-05-01,05-26-11,16:00:00,REGULAR,0,320
1202,A002,R051,02-05-01,05-26-11,20:00:00,REGULAR,0,320
1203,A002,R051,02-05-01,05-27-11,00:00:00,REGULAR,0,320
1204,A002,R051,02-05-01,05-27-11,04:00:00,REGULAR,0,320
1205,A002,R051,02-05-01,05-27-11,08:00:00,REGULAR,0,320
1206,A002,R051,02-05-01,05-27-11,12:00:00,REGULAR,0,320
1207,A002,R051,02-05-01,05-27-11,16:00:00,REGULAR,0,320
1208,A002,R051,02-05-01,05-27-11,20:00:00,REGULAR,0,320
1209,A002,R051,02-06-00,05-21-11,00:00:00,REGULAR,3040689,97528
1210,A002,R051,02-06-00,05-21-11,04:00:00,REGULAR,3040720,97532
1211,A002,R051,02-06-00,05-21-11,08:00:00,REGULAR,3040753,97533
1212,A002,R051,02-06-00,05-21-11,12:00:00,REGULAR,3040907,97535
1213,A002,R051,02-06-00,05-21-11,16:00:00,REGULAR,3041157,97537
1214,A002,R051,02-06-00,05-21-11,20:00:00,REGULAR,3041480,97542
1215,A002,R051,02-06-00,05-22-11,00:00:00,REGULAR,3041682,97551
1216,A002,R051,02-06-00,05-22-11,04:00:00,REGULAR,3041710,97555
1217,A002,R051,02-06-00,05-22-11,08:00:00,REGULAR,3041729,97555
1218,A002,R051,02-06-00,05-22-11,12:00:00,REGULAR,3041851,97558
1219,A002,R051,02-06-00,05-22-11,16:00:00,REGULAR,3042103,97564
1220,A002,R051,02-06-00,05-22-11,20:00:00,REGULAR,3042344,97568
1221,A002,R051,02-06-00,05-23-11,00:00:00,REGULAR,3042451,97571
1222,A002,R051,02-06-00,05-23-11,04:00:00,REGULAR,3042470,97573
1223,A002,R051,02-06-00,05-23-11,08:00:00,REGULAR,3042600,97575
1224,A002,R051,02-06-00,05-23-11,12:00:00,REGULAR,3043088,97585
1225,A002,R051,02-06-00,05-23-11,16:00:00,REGULAR,3043449,97589
1226,A002,R051,02-06-00,05-23-11,20:00:00,REGULAR,3044233,97599
1227,A002,R051,02-06-00,05-24-11,00:00:00,REGULAR,3044463,97603
1228,A002,R051,02-06-00,05-24-11,04:00:00,REGULAR,3044480,97605
1229,A002,R051,02-06-00,05-24-11,08:00:00,REGULAR,3044597,97608
1230,A002,R051,02-06-00,05-24-11,12:00:00,REGULAR,3045110,97619
1231,A002,R051,02-06-00,05-24-11,16:00:00,REGULAR,3045483,97628
1232,A002,R051,02-06-00,05-24-11,20:00:00,REGULAR,3046286,97638
1233,A002,R051,02-06-00,05-25-11,00:00:00,REGULAR,3046494,97645
1234,A002,R051,02-06-00,05-25-11,04:00:00,REGULAR,3046512,97646
1235,A002,R051,02-06-00,05-25-11,08:00:00,REGULAR,3046638,97650
1236,A002,R051,02-06-00,05-25-11,12:00:00,REGULAR,3047157,97658
1237,A002,R051,02-06-00,05-25-11,16:00:00,REGULAR,3047530,97666
1238,A002,R051,02-06-00,05-25-11,20:00:00,REGULAR,3048251,97671
1239,A002,R051,02-06-00,05-26-11,00:00:00,REGULAR,3048530,97675
1240,A002,R051,02-06-00,05-26-11,04:00:00,REGULAR,3048542,97676
1241,A002,R051,02-06-00,05-26-11,08:00:00,REGULAR,3048680,97677
1242,A002,R051,02-06-00,05-26-11,12:00:00,REGULAR,3049182,97683
1243,A002,R051,02-06-00,05-26-11,16:00:00,REGULAR,3049592,97688
1244,A002,R051,02-06-00,05-26-11,20:00:00,REGULAR,3050416,97693
1245,A002,R051,02-06-00,05-27-11,00:00:00,REGULAR,3050647,97705
1246,A002,R051,02-06-00,05-27-11,04:00:00,REGULAR,3050663,97706
1247,A002,R051,02-06-00,05-27-11,08:00:00,REGULAR,3050793,97709
1248,A002,R051,02-06-00,05-27-11,12:00:00,REGULAR,3051201,97720
1249,A002,R051,02-06-00,05-27-11,16:00:00,REGULAR,3051650,97727
1250,A002,R051,02-06-00,05-27-11,20:00:00,REGULAR,3052254,97742
1251,A006,R079,00-00-00,05-21-11,02:00:00,REGULAR,8971326,13832075
1252,A006,R079,00-00-00,05-21-11,06:00:00,REGULAR,8971338,13832091
1253,A006,R079,00-00-00,05-21-11,10:00:00,REGULAR,8971378,13832504
1254,A006,R079,00-00-00,05-21-11,14:00:00,REGULAR,8971574,13833171
1255,A006,R079,00-00-00,05-21-11,18:00:00,REGULAR,8972079,13833826
1256,A006,R079,00-00-00,05-21-11,22:00:00,REGULAR,8972536,13834058
1257,A006,R079,00-00-00,05-22-11,02:00:00,REGULAR,8972691,13834157
1258,A006,R079,00-00-00,05-22-11,06:00:00,REGULAR,8972699,13834176
1259,A006,R079,00-00-00,05-22-11,10:00:00,REGULAR,8972719,13834374
1260,A006,R079,00-00-00,05-22-11,14:00:00,REGULAR,8972873,13834944
1261,A006,R079,00-00-00,05-22-11,18:00:00,REGULAR,8973246,13835473
1262,A006,R079,00-00-00,05-22-11,22:00:00,REGULAR,8973550,13835683
1263,A006,R079,00-00-00,05-23-11,02:00:00,REGULAR,8973640,13835738
1264,A006,R079,00-00-00,05-23-11,06:00:00,REGULAR,8973644,13835768
1265,A006,R079,00-00-00,05-23-11,07:41:13,REGULAR,8973665,13836069
1266,A006,R079,00-00-00,05-23-11,10:00:00,REGULAR,8973707,13837581
1267,A006,R079,00-00-00,05-23-11,14:00:00,REGULAR,8973926,13838668
1268,A006,R079,00-00-00,05-23-11,14:31:27,REGULAR,8973978,13838778
1269,A006,R079,00-00-00,05-23-11,18:00:00,REGULAR,8974700,13839493
1270,A006,R079,00-00-00,05-23-11,22:00:00,REGULAR,8975399,13839850
1271,A006,R079,00-00-00,05-24-11,02:00:00,REGULAR,8975559,13839923
1272,A006,R079,00-00-00,05-24-11,06:00:00,REGULAR,8975563,13839961
1273,A006,R079,00-00-00,05-24-11,10:00:00,REGULAR,8975606,13841940
1274,A006,R079,00-00-00,05-24-11,14:00:00,REGULAR,8975824,13843081
1275,A006,R079,00-00-00,05-24-11,18:00:00,REGULAR,8976541,13844056
1276,A006,R079,00-00-00,05-24-11,22:00:00,REGULAR,8977275,13844604
1277,A006,R079,00-00-00,05-25-11,02:00:00,REGULAR,8977464,13844669
1278,A006,R079,00-00-00,05-25-11,06:00:00,REGULAR,8977474,13844700
1279,A006,R079,00-00-00,05-25-11,10:00:00,REGULAR,8977528,13846677
1280,A006,R079,00-00-00,05-25-11,14:00:00,REGULAR,8977762,13847916
1281,A006,R079,00-00-00,05-25-11,18:00:00,REGULAR,8978525,13848938
1282,A006,R079,00-00-00,05-25-11,22:00:00,REGULAR,8979291,13849377
1283,A006,R079,00-00-00,05-26-11,02:00:00,REGULAR,8979484,13849448
1284,A006,R079,00-00-00,05-26-11,06:00:00,REGULAR,8979492,13849478
1285,A006,R079,00-00-00,05-26-11,10:00:00,REGULAR,8979543,13851420
1286,A006,R079,00-00-00,05-26-11,14:00:00,REGULAR,8979730,13852660
1287,A006,R079,00-00-00,05-26-11,18:00:00,REGULAR,8980555,13853683
1288,A006,R079,00-00-00,05-26-11,22:00:00,REGULAR,8981292,13854115
1289,A006,R079,00-00-00,05-27-11,02:00:00,REGULAR,8981487,13854226
1290,A006,R079,00-00-00,05-27-11,06:00:00,REGULAR,8981498,13854293
1297,A006,R079,00-00-00,05-27-11,22:00:00,REGULAR,8983321,13858079
1298,A006,R079,00-00-01,05-21-11,02:00:00,REGULAR,386056,294801
1299,A006,R079,00-00-01,05-21-11,06:00:00,REGULAR,386061,294809
1300,A006,R079,00-00-01,05-21-11,10:00:00,REGULAR,386107,294918
1301,A006,R079,00-00-01,05-21-11,14:00:00,REGULAR,386312,295136
1302,A006,R079,00-00-01,05-21-11,18:00:00,REGULAR,386818,295382
1303,A006,R079,00-00-01,05-21-11,22:00:00,REGULAR,387264,295493
1304,A006,R079,00-00-01,05-22-11,02:00:00,REGULAR,387375,295510
1305,A006,R079,00-00-01,05-22-11,06:00:00,REGULAR,387390,295518
1306,A006,R079,00-00-01,05-22-11,10:00:00,REGULAR,387418,295573
1307,A006,R079,00-00-01,05-22-11,14:00:00,REGULAR,387583,295766
1308,A006,R079,00-00-01,05-22-11,18:00:00,REGULAR,387981,295961
1309,A006,R079,00-00-01,05-22-11,22:00:00,REGULAR,388259,296039
1310,A006,R079,00-00-01,05-23-11,02:00:00,REGULAR,388324,296044
1311,A006,R079,00-00-01,05-23-11,06:00:00,REGULAR,388329,296048
1312,A006,R079,00-00-01,05-23-11,07:41:13,REGULAR,388347,296145
1313,A006,R079,00-00-01,05-23-11,10:00:00,REGULAR,388404,296770
1314,A006,R079,00-00-01,05-23-11,14:00:00,REGULAR,388718,297113
1315,A006,R079,00-00-01,05-23-11,14:31:27,REGULAR,388768,297143
1316,A006,R079,00-00-01,05-23-11,18:00:00,REGULAR,389494,297397
1317,A006,R079,00-00-01,05-23-11,22:00:00,REGULAR,390173,297510
1318,A006,R079,00-00-01,05-24-11,02:00:00,REGULAR,390289,297524
1319,A006,R079,00-00-01,05-24-11,06:00:00,REGULAR,390296,297529
1320,A006,R079,00-00-01,05-24-11,10:00:00,REGULAR,390367,298304
1321,A006,R079,00-00-01,05-24-11,14:00:00,REGULAR,390629,298697
1322,A006,R079,00-00-01,05-24-11,18:00:00,REGULAR,391445,299003
1323,A006,R079,00-00-01,05-24-11,22:00:00,REGULAR,392210,299196
1324,A006,R079,00-00-01,05-25-11,02:00:00,REGULAR,392368,299223
1325,A006,R079,00-00-01,05-25-11,06:00:00,REGULAR,392370,299234
1326,A006,R079,00-00-01,05-25-11,10:00:00,REGULAR,392442,300028
1327,A006,R079,00-00-01,05-25-11,14:00:00,REGULAR,392759,300398
1328,A006,R079,00-00-01,05-25-11,18:00:00,REGULAR,393665,300761
1329,A006,R079,00-00-01,05-25-11,22:00:00,REGULAR,394434,300898
1330,A006,R079,00-00-01,05-26-11,02:00:00,REGULAR,394593,300919
1331,A006,R079,00-00-01,05-26-11,06:00:00,REGULAR,394601,300925
1332,A006,R079,00-00-01,05-26-11,10:00:00,REGULAR,394677,301635
1333,A006,R079,00-00-01,05-26-11,14:00:00,REGULAR,394993,302007
1334,A006,R079,00-00-01,05-26-11,18:00:00,REGULAR,395874,302352
1335,A006,R079,00-00-01,05-26-11,22:00:00,REGULAR,396610,302493
1336,A006,R079,00-00-01,05-27-11,02:00:00,REGULAR,396725,302527
1337,A006,R079,00-00-01,05-27-11,06:00:00,REGULAR,396736,302549
1344,A006,R079,00-00-01,05-27-11,22:00:00,REGULAR,398581,304021
1345,A006,R079,00-00-02,05-21-11,02:00:00,REGULAR,4903293,2202378
1346,A006,R079,00-00-02,05-21-11,06:00:00,REGULAR,4903303,2202379
1347,A006,R079,00-00-02,05-21-11,10:00:00,REGULAR,4903323,2202452
1348,A006,R079,00-00-02,05-21-11,14:00:00,REGULAR,4903484,2202564
1349,A006,R079,00-00-02,05-21-11,18:00:00,REGULAR,4903868,2202699
1350,A006,R079,00-00-02,05-21-11,22:00:00,REGULAR,4904220,2202736
1351,A006,R079,00-00-02,05-22-11,02:00:00,REGULAR,4904295,2202751
1352,A006,R079,00-00-02,05-22-11,06:00:00,REGULAR,4904301,2202752
1353,A006,R079,00-00-02,05-22-11,10:00:00,REGULAR,4904312,2202781
1354,A006,R079,00-00-02,05-22-11,14:00:00,REGULAR,4904453,2202879
1355,A006,R079,00-00-02,05-22-11,18:00:00,REGULAR,4904748,2202982
1356,A006,R079,00-00-02,05-22-11,22:00:00,REGULAR,4904964,2203015
1357,A006,R079,00-00-02,05-23-11,02:00:00,REGULAR,4905018,2203019
1358,A006,R079,00-00-02,05-23-11,06:00:00,REGULAR,4905020,2203022
1359,A006,R079,00-00-02,05-23-11,07:41:13,REGULAR,4905026,2203086
1360,A006,R079,00-00-02,05-23-11,10:00:00,REGULAR,4905090,2203431
1361,A006,R079,00-00-02,05-23-11,14:00:00,REGULAR,4905346,2203600
1362,A006,R079,00-00-02,05-23-11,14:31:27,REGULAR,4905382,2203612
1363,A006,R079,00-00-02,05-23-11,18:00:00,REGULAR,4905989,2203724
1364,A006,R079,00-00-02,05-23-11,22:00:00,REGULAR,4906485,2203766
1365,A006,R079,00-00-02,05-24-11,02:00:00,REGULAR,4906567,2203773
1366,A006,R079,00-00-02,05-24-11,06:00:00,REGULAR,4906568,2203784
1367,A006,R079,00-00-02,05-24-11,10:00:00,REGULAR,4906637,2204222
1368,A006,R079,00-00-02,05-24-11,14:00:00,REGULAR,4906876,2204402
1369,A006,R079,00-00-02,05-24-11,18:00:00,REGULAR,4907613,2204521
1370,A006,R079,00-00-02,05-24-11,22:00:00,REGULAR,4908174,2204617
1371,A006,R079,00-00-02,05-25-11,02:00:00,REGULAR,4908280,2204631
1372,A006,R079,00-00-02,05-25-11,06:00:00,REGULAR,4908287,2204635
1373,A006,R079,00-00-02,05-25-11,10:00:00,REGULAR,4908347,2205095
1374,A006,R079,00-00-02,05-25-11,14:00:00,REGULAR,4908621,2205268
1375,A006,R079,00-00-02,05-25-11,18:00:00,REGULAR,4909380,2205429
1376,A006,R079,00-00-02,05-25-11,22:00:00,REGULAR,4909928,2205486
1377,A006,R079,00-00-02,05-26-11,02:00:00,REGULAR,4910019,2205500
1378,A006,R079,00-00-02,05-26-11,06:00:00,REGULAR,4910028,2205504
1379,A006,R079,00-00-02,05-26-11,10:00:00,REGULAR,4910081,2205904
1380,A006,R079,00-00-02,05-26-11,14:00:00,REGULAR,4910307,2206081
1381,A006,R079,00-00-02,05-26-11,18:00:00,REGULAR,4911029,2206249
1382,A006,R079,00-00-02,05-26-11,22:00:00,REGULAR,4911603,2206317
1383,A006,R079,00-00-02,05-27-11,02:00:00,REGULAR,4911689,2206330
1384,A006,R079,00-00-02,05-27-11,06:00:00,REGULAR,4911699,2206343
1393,A006,R079,00-00-02,05-27-11,22:00:00,REGULAR,4913240,2207146
1394,A006,R079,00-00-03,05-21-11,02:00:00,REGULAR,28583,12793
1395,A006,R079,00-00-03,05-21-11,06:00:00,REGULAR,28585,12795
1396,A006,R079,00-00-03,05-21-11,10:00:00,REGULAR,28592,12843
1397,A006,R079,00-00-03,05-21-11,14:00:00,REGULAR,28727,12923
1398,A006,R079,00-00-03,05-21-11,18:00:00,REGULAR,29072,13032
1399,A006,R079,00-00-03,05-21-11,22:00:00,REGULAR,29408,13070
1400,A006,R079,00-00-03,05-22-11,02:00:00,REGULAR,29466,13075
1401,A006,R079,00-00-03,05-22-11,06:00:00,REGULAR,29472,13075
1402,A006,R079,00-00-03,05-22-11,10:00:00,REGULAR,29481,13100
1403,A006,R079,00-00-03,05-22-11,14:00:00,REGULAR,29578,13174
1404,A006,R079,00-00-03,05-22-11,18:00:00,REGULAR,29815,13261
1405,A006,R079,00-00-03,05-22-11,22:00:00,REGULAR,29971,13284
1406,A006,R079,00-00-03,05-23-11,02:00:00,REGULAR,30002,13290
1407,A006,R079,00-00-03,05-23-11,06:00:00,REGULAR,30005,13296
1408,A006,R079,00-00-03,05-23-11,07:41:13,REGULAR,30013,13349
1409,A006,R079,00-00-03,05-23-11,10:00:00,REGULAR,30049,13611
1410,A006,R079,00-00-03,05-23-11,14:00:00,REGULAR,30217,13727
1411,A006,R079,00-00-03,05-23-11,14:31:27,REGULAR,30238,13731
1412,A006,R079,00-00-03,05-23-11,18:00:00,REGULAR,30763,13807
1413,A006,R079,00-00-03,05-23-11,22:00:00,REGULAR,31141,13847
1414,A006,R079,00-00-03,05-24-11,02:00:00,REGULAR,31207,13849
1415,A006,R079,00-00-03,05-24-11,06:00:00,REGULAR,31207,13849
1416,A006,R079,00-00-03,05-24-11,10:00:00,REGULAR,31246,14194
1417,A006,R079,00-00-03,05-24-11,14:00:00,REGULAR,31431,14325
1418,A006,R079,00-00-03,05-24-11,18:00:00,REGULAR,32006,14398
1419,A006,R079,00-00-03,05-24-11,22:00:00,REGULAR,32437,14466
1420,A006,R079,00-00-03,05-25-11,02:00:00,REGULAR,32519,14471
1421,A006,R079,00-00-03,05-25-11,06:00:00,REGULAR,32522,14472
1422,A006,R079,00-00-03,05-25-11,10:00:00,REGULAR,32565,14812
1423,A006,R079,00-00-03,05-25-11,14:00:00,REGULAR,32757,14920
1424,A006,R079,00-00-03,05-25-11,18:00:00,REGULAR,33372,15036
1425,A006,R079,00-00-03,05-25-11,22:00:00,REGULAR,33823,15090
1426,A006,R079,00-00-03,05-26-11,02:00:00,REGULAR,33904,15098
1427,A006,R079,00-00-03,05-26-11,06:00:00,REGULAR,33909,15102
1428,A006,R079,00-00-03,05-26-11,10:00:00,REGULAR,33953,15435
1429,A006,R079,00-00-03,05-26-11,14:00:00,REGULAR,34111,15557
1430,A006,R079,00-00-03,05-26-11,18:00:00,REGULAR,34731,15667
1431,A006,R079,00-00-03,05-26-11,22:00:00,REGULAR,35134,15712
1432,A006,R079,00-00-03,05-27-11,02:00:00,REGULAR,35190,15716
1433,A006,R079,00-00-03,05-27-11,06:00:00,REGULAR,35194,15725
1440,A006,R079,00-00-03,05-27-11,22:00:00,REGULAR,36392,16253
1441,A006,R079,00-00-04,05-21-11,02:00:00,REGULAR,4775800,2224427
1442,A006,R079,00-00-04,05-21-11,06:00:00,REGULAR,4775806,2224430
1443,A006,R079,00-00-04,05-21-11,10:00:00,REGULAR,4775832,2224494
1444,A006,R079,00-00-04,05-21-11,14:00:00,REGULAR,4775978,2224581
1445,A006,R079,00-00-04,05-21-11,18:00:00,REGULAR,4776325,2224689
1446,A006,R079,00-00-04,05-21-11,22:00:00,REGULAR,4776624,2224725
1447,A006,R079,00-00-04,05-22-11,02:00:00,REGULAR,4776663,2224729
1448,A006,R079,00-00-04,05-22-11,06:00:00,REGULAR,4776669,2224732
